新加坡,#genre#
HBO_HITS,http://45.207.205.213:19890/trams/1207/playlist.m3u8?token=abcdsoooyu888
HBO Signature Taiwan,http://45.207.205.213:19890/trams/2868/playlist.m3u8?token=abcdsoooyu888
Hollywood Movies,http://45.207.205.213:19890/trams/278/playlist.m3u8?token=abcdsoooyu888
三立台湾 Sanli Taiwan,http://45.207.205.213:19890/trams/543/playlist.m3u8?token=abcdsoooyu888
三立戏剧台,http://45.207.205.213:19890/trams/2236/playlist.m3u8?token=abcdsoooyu888
三立综合 Sanli Metro,http://45.207.205.213:19890/trams/756/playlist.m3u8?token=abcdsoooyu888
三立都会台,http://45.207.205.213:19890/trams/2026/playlist.m3u8?token=abcdsoooyu888
东森综合 ETTV Metro,http://45.207.205.213:19890/trams/118/playlist.m3u8?token=abcdsoooyu888
东森戏剧 ETTV Drama,http://45.207.205.213:19890/trams/546/playlist.m3u8?token=abcdsoooyu888
公视2,http://45.207.205.213:19890/trams/2830/playlist.m3u8?token=abcdsoooyu888
大爱1台,http://45.207.205.213:19890/trams/550/playlist.m3u8?token=abcdsoooyu888
龙华戏剧 Lunghua Drama,http://45.207.205.213:19890/trams/811/playlist.m3u8?token=abcdsoooyu888
龙华经典台,http://45.207.205.213:19890/trams/2079/playlist.m3u8?token=abcdsoooyu888
龙华偶像,http://45.207.205.213:19890/trams/812/playlist.m3u8?token=abcdsoooyu888
AXN Taiwan,http://45.207.205.213:19890/trams/906/playlist.m3u8?token=abcdsoooyu888
靖天国际台,http://45.207.205.213:19890/trams/2018/playlist.m3u8?token=abcdsoooyu888
CINEMAX,http://45.207.205.213:19890/trams/496/playlist.m3u8?token=abcdsoooyu888
年代新闻,http://45.207.205.213:19890/trams/825/playlist.m3u8?token=abcdsoooyu888
纬来日本台,http://45.207.205.213:19890/trams/2048/playlist.m3u8?token=abcdsoooyu888
纬来电影台,http://45.207.205.213:19890/trams/2049/playlist.m3u8?token=abcdsoooyu888
纬来体育台,http://45.207.205.213:19890/trams/2051/playlist.m3u8?token=abcdsoooyu888
纬来综合台,http://45.207.205.213:19890/trams/2053/playlist.m3u8?token=abcdsoooyu888
纬来育乐,http://45.207.205.213:19890/trams/2470/playlist.m3u8?token=abcdsoooyu888
纬来精彩,http://45.207.205.213:19890/trams/2472/playlist.m3u8?token=abcdsoooyu888
DW (Deutsch),http://45.207.205.213:19890/trams/440/playlist.m3u8?token=abcdsoooyu888
好消息 2,http://45.207.205.213:19890/trams/2023/playlist.m3u8?token=abcdsoooyu888
大爱2台,http://45.207.205.213:19890/trams/508/playlist.m3u8?token=abcdsoooyu888
亚洲美食,http://45.207.205.213:19890/trams/2035/playlist.m3u8?token=abcdsoooyu888
亚洲旅游 TLC Asia,http://45.207.205.213:19890/trams/2055/playlist.m3u8?token=abcdsoooyu888
东森电影 ETTV Movie,http://45.207.205.213:19890/trams/924/playlist.m3u8?token=abcdsoooyu888
阿里郎 Arirang,http://45.207.205.213:19890/trams/2080/playlist.m3u8?token=abcdsoooyu888
博斯运动 1,http://45.207.205.213:19890/trams/2083/playlist.m3u8?token=abcdsoooyu888
博斯运动 2,http://45.207.205.213:19890/trams/2084/playlist.m3u8?token=abcdsoooyu888
东森洋片 ETTV Western,http://45.207.205.213:19890/trams/763/playlist.m3u8?token=abcdsoooyu888
龙华洋片 Lunghua Western,http://45.207.205.213:19890/trams/810/playlist.m3u8?token=abcdsoooyu888
博斯无限,http://45.207.205.213:19890/trams/2087/playlist.m3u8?token=abcdsoooyu888
MTV Live,http://45.207.205.213:19890/trams/2046/playlist.m3u8?token=abcdsoooyu888
龙详时代,http://45.207.205.213:19890/trams/2024/playlist.m3u8?token=abcdsoooyu888
EYETV 旅游,http://45.207.205.213:19890/trams/2100/playlist.m3u8?token=abcdsoooyu888
靖天卡通台,http://45.207.205.213:19890/trams/1585/playlist.m3u8?token=abcdsoooyu888
EYETV 戏剧,http://45.207.205.213:19890/trams/2101/playlist.m3u8?token=abcdsoooyu888
卫视中文台 Star Movies Chinese,http://45.207.205.213:19890/trams/2078/playlist.m3u8?token=abcdsoooyu888
东森幼幼 Yoyo TV,http://45.207.205.213:19890/trams/969/playlist.m3u8?token=abcdsoooyu888
美亚电影,http://45.207.205.213:19890/trams/2099/playlist.m3u8?token=abcdsoooyu888
爱尔达戏剧台,http://45.207.205.213:19890/trams/2043/playlist.m3u8?token=abcdsoooyu888
TVBS News 新聞台,http://45.207.205.213:19890/trams/738/playlist.m3u8?token=abcdsoooyu888
Asia Food Network,http://45.207.205.213:19890/trams/1042/playlist.m3u8?token=abcdsoooyu888
Elta体育1台,http://45.207.205.213:19890/trams/2871/playlist.m3u8?token=abcdsoooyu888
東森新聞 ETTV News,http://45.207.205.213:19890/trams/544/playlist.m3u8?token=abcdsoooyu888
東森財經新聞 ETTV Business,http://45.207.205.213:19890/trams/761/playlist.m3u8?token=abcdsoooyu888
中天新聞 CTI News,http://45.207.205.213:19890/trams/1923/playlist.m3u8?token=abcdsoooyu888
非凡新聞台,http://45.207.205.213:19890/trams/575/playlist.m3u8?token=abcdsoooyu888
Elta體育2台,http://45.207.205.213:19890/trams/1541/playlist.m3u8?token=abcdsoooyu888
台視新聞台 TTV News,http://45.207.205.213:19890/trams/2502/playlist.m3u8?token=abcdsoooyu888
Elta體育3台,http://45.207.205.213:19890/trams/2578/playlist.m3u8?token=abcdsoooyu888
Elta体育4台,http://45.207.205.213:19890/trams/2922/playlist.m3u8?token=abcdsoooyu888
民視新聞台 FTV News,http://45.207.205.213:19890/trams/746/playlist.m3u8?token=abcdsoooyu888
博斯高球2 HD,http://45.207.205.213:19890/trams/2085/playlist.m3u8?token=abcdsoooyu888
博斯网球 HD,http://45.207.205.213:19890/trams/2086/playlist.m3u8?token=abcdsoooyu888
寰宇新聞台,http://45.207.205.213:19890/trams/2501/playlist.m3u8?token=abcdsoooyu888
中視新聞台,http://45.207.205.213:19890/trams/1989/playlist.m3u8?token=abcdsoooyu888
探索频道,http://45.207.205.213:19890/trams/2878/playlist.m3u8?token=abcdsoooyu888
DAZN 1,http://45.207.205.213:19890/trams/2869/playlist.m3u8?token=abcdsoooyu888
DAZN 2,http://45.207.205.213:19890/trams/2870/playlist.m3u8?token=abcdsoooyu888
CN卡通頻道,http://45.207.205.213:19890/trams/momo1_twn/playlist.m3u8?token=abcdsoooyu888
緯來日本台,http://45.207.205.213:19890/trams/videolandjapan/playlist.m3u8?token=abcdsoooyu888
EYE TV旅遊台,http://45.207.205.213:19890/trams/eyetvtravel_twn/playlist.m3u8?token=abcdsoooyu888
緯來電影台,http://45.207.205.213:19890/trams/videolandmovie/playlist.m3u8?token=abcdsoooyu888
三立綜合台,http://45.207.205.213:19890/trams/sanlizhonghe/playlist.m3u8?token=abcdsoooyu888
緯來綜合台,http://45.207.205.213:19890/trams/videolandzonghe/playlist.m3u8?token=abcdsoooyu888
博斯運動二台,http://45.207.205.213:19890/trams/bosisport2_twn/playlist.m3u8?token=abcdsoooyu888
MTV Live,http://45.207.205.213:19890/trams/mtvhd_twn/playlist.m3u8?token=abcdsoooyu888
東森戲劇台,http://45.207.205.213:19890/trams/ettvdrama/playlist.m3u8?token=abcdsoooyu888
台視,http://45.207.205.213:19890/trams/ttv_taiwan/playlist.m3u8?token=abcdsoooyu888
三立都會台,http://45.207.205.213:19890/trams/sanlidouhui_twn/playlist.m3u8?token=abcdsoooyu888
緯來戲劇台,http://45.207.205.213:19890/trams/videolandmax/playlist.m3u8?token=abcdsoooyu888
華藝中文台,http://45.207.205.213:19890/trams/weishichinese_twn/playlist.m3u8?token=abcdsoooyu888
Catchplay,http://45.207.205.213:19890/trams/catchplay_twn/playlist.m3u8?token=abcdsoooyu888
三立戲劇台,http://45.207.205.213:19890/trams/sanlixiju_twn/playlist.m3u8?token=abcdsoooyu888
TVBS歡樂台,http://45.207.205.213:19890/trams/tvbshuanle_twn/playlist.m3u8?token=abcdsoooyu888
愛爾達綜合台,http://45.207.205.213:19890/trams/eltadrama_twn/playlist.m3u8?token=abcdsoooyu888
LS Time電影台,http://45.207.205.213:19890/trams/lungxiangtime_twn/playlist.m3u8?token=abcdsoooyu888
動物星球,http://45.207.205.213:19890/trams/animalplanet_twn/playlist.m3u8?token=abcdsoooyu888
Discovery,http://45.207.205.213:19890/trams/discoverych_twn/playlist.m3u8?token=abcdsoooyu888
東森綜合台,http://45.207.205.213:19890/trams/ettvzhonghe/playlist.m3u8?token=abcdsoooyu888
東森電影台,http://45.207.205.213:19890/trams/ettvmovie/playlist.m3u8?token=abcdsoooyu888
TVBS新聞,http://45.207.205.213:19890/trams/tvbs_n/playlist.m3u8?token=abcdsoooyu888
博斯網球台,http://45.207.205.213:19890/trams/bositennis_twn/playlist.m3u8?token=abcdsoooyu888
印度,#genre#
Sun TV HD,http://45.207.205.213:19890/trams/127/playlist.m3u8?token=abcdsoooyu888
Star Vijay,http://45.207.205.213:19890/trams/1648/playlist.m3u8?token=abcdsoooyu888
Colors Tamil,http://45.207.205.213:19890/trams/2666/playlist.m3u8?token=abcdsoooyu888
Sun Music,http://45.207.205.213:19890/trams/2127/playlist.m3u8?token=abcdsoooyu888
Astro Sunlife,http://45.207.205.213:19890/trams/2763/playlist.m3u8?token=abcdsoooyu888
Astro Vaanavil,http://45.207.205.213:19890/trams/2749/playlist.m3u8?token=abcdsoooyu888
Zee Tamil,http://45.207.205.213:19890/trams/130/playlist.m3u8?token=abcdsoooyu888
Zee Business,http://45.207.205.213:19890/trams/1593/playlist.m3u8?token=abcdsoooyu888
News 18 Tamil,http://45.207.205.213:19890/trams/1946/playlist.m3u8?token=abcdsoooyu888
Adithya,http://45.207.205.213:19890/trams/2665/playlist.m3u8?token=abcdsoooyu888
Makkal TV,http://45.207.205.213:19890/trams/1196/playlist.m3u8?token=abcdsoooyu888
Zee Action,http://45.207.205.213:19890/trams/131/playlist.m3u8?token=abcdsoooyu888
Astro KTV,http://45.207.205.213:19890/trams/2770/playlist.m3u8?token=abcdsoooyu888
Zee TV HD,http://45.207.205.213:19890/trams/364/playlist.m3u8?token=abcdsoooyu888
Zee Cinema HD,http://45.207.205.213:19890/trams/365/playlist.m3u8?token=abcdsoooyu888
Color HD,http://45.207.205.213:19890/trams/366/playlist.m3u8?token=abcdsoooyu888
Starplus HD,http://45.207.205.213:19890/trams/2771/playlist.m3u8?token=abcdsoooyu888
Picture HD,http://45.207.205.213:19890/trams/367/playlist.m3u8?token=abcdsoooyu888
Zee News,http://45.207.205.213:19890/trams/368/playlist.m3u8?token=abcdsoooyu888
Asianet,http://45.207.205.213:19890/trams/1474/playlist.m3u8?token=abcdsoooyu888
Asianet News,http://45.207.205.213:19890/trams/1924/playlist.m3u8?token=abcdsoooyu888
Discovery World Tamil,http://45.207.205.213:19890/trams/1834/playlist.m3u8?token=abcdsoooyu888
History Tamil,http://45.207.205.213:19890/trams/1836/playlist.m3u8?token=abcdsoooyu888
NatGeo Tamil,http://45.207.205.213:19890/trams/1838/playlist.m3u8?token=abcdsoooyu888
Natgeo Wild Tamil,http://45.207.205.213:19890/trams/1839/playlist.m3u8?token=abcdsoooyu888
Discovery Kids Tamil,http://45.207.205.213:19890/trams/1841/playlist.m3u8?token=abcdsoooyu888
Sony Yay Tamil,http://45.207.205.213:19890/trams/1927/playlist.m3u8?token=abcdsoooyu888
Sun TV India,http://45.207.205.213:19890/trams/2279/playlist.m3u8?token=abcdsoooyu888
Starmaa HD,http://45.207.205.213:19890/trams/2463/playlist.m3u8?token=abcdsoooyu888
Starmaa Movies HD,http://45.207.205.213:19890/trams/2464/playlist.m3u8?token=abcdsoooyu888
Vijay Super,http://45.207.205.213:19890/trams/2772/playlist.m3u8?token=abcdsoooyu888
Bollyone,http://45.207.205.213:19890/trams/2693/playlist.m3u8?token=abcdsoooyu888
Astro Sunmusic,http://45.207.205.213:19890/trams/2694/playlist.m3u8?token=abcdsoooyu888
Thangathirai,http://45.207.205.213:19890/trams/2841/playlist.m3u8?token=abcdsoooyu888
Vinmeen,http://45.207.205.213:19890/trams/2842/playlist.m3u8?token=abcdsoooyu888
Vellithirai,http://45.207.205.213:19890/trams/2816/playlist.m3u8?token=abcdsoooyu888
Sony Pictures HD,http://45.207.205.213:19890/trams/2857/playlist.m3u8?token=abcdsoooyu888
新闻财经,#genre#
ABC News,http://45.207.205.213:19890/trams/1766/playlist.m3u8?token=abcdsoooyu888
iNews 互動新聞台,http://45.207.205.213:19890/trams/1619/playlist.m3u8?token=abcdsoooyu888
CBS HD,http://45.207.205.213:19890/trams/1768/playlist.m3u8?token=abcdsoooyu888
CBSN HD,http://45.207.205.213:19890/trams/1769/playlist.m3u8?token=abcdsoooyu888
CCTV-13 新聞與頻道,http://45.207.205.213:19890/trams/723/playlist.m3u8?token=abcdsoooyu888
CGTN,http://45.207.205.213:19890/trams/2562/playlist.m3u8?token=abcdsoooyu888
DW (Deutsch),http://45.207.205.213:19890/trams/440/playlist.m3u8?token=abcdsoooyu888
Fox News,http://45.207.205.213:19890/trams/2535/playlist.m3u8?token=abcdsoooyu888
NHK World,http://45.207.205.213:19890/trams/2392/playlist.m3u8?token=abcdsoooyu888
TVBS News 新聞台,http://45.207.205.213:19890/trams/738/playlist.m3u8?token=abcdsoooyu888
Al-Jazeera,http://45.207.205.213:19890/trams/1089/playlist.m3u8?token=abcdsoooyu888
Bloomberg News,http://45.207.205.213:19890/trams/267/playlist.m3u8?token=abcdsoooyu888
東森新聞 ETTV News,http://45.207.205.213:19890/trams/544/playlist.m3u8?token=abcdsoooyu888
東森財經新聞 ETTV Business,http://45.207.205.213:19890/trams/761/playlist.m3u8?token=abcdsoooyu888
中天新聞 CTI News,http://45.207.205.213:19890/trams/1923/playlist.m3u8?token=abcdsoooyu888
非凡新聞台,http://45.207.205.213:19890/trams/575/playlist.m3u8?token=abcdsoooyu888
台視新聞台 TTV News,http://45.207.205.213:19890/trams/2502/playlist.m3u8?token=abcdsoooyu888
民視新聞台 FTV News,http://45.207.205.213:19890/trams/746/playlist.m3u8?token=abcdsoooyu888
寰宇新聞台,http://45.207.205.213:19890/trams/2501/playlist.m3u8?token=abcdsoooyu888
中視新聞台,http://45.207.205.213:19890/trams/1989/playlist.m3u8?token=abcdsoooyu888
Al_Jazeera,http://45.207.205.213:19890/trams/2893/playlist.m3u8?token=abcdsoooyu888
CNN,http://45.207.205.213:19890/trams/2715/playlist.m3u8?token=abcdsoooyu888
CNN backup,http://45.207.205.213:19890/trams/2074/playlist.m3u8?token=abcdsoooyu888
BBC World News,http://45.207.205.213:19890/trams/2113/playlist.m3u8?token=abcdsoooyu888
BBC World News,http://45.207.205.213:19890/trams/2717/playlist.m3u8?token=abcdsoooyu888
CNBC,http://45.207.205.213:19890/trams/265/playlist.m3u8?token=abcdsoooyu888
Bloomberg TV,http://45.207.205.213:19890/trams/2884/playlist.m3u8?token=abcdsoooyu888
CNA,http://45.207.205.213:19890/trams/677/playlist.m3u8?token=abcdsoooyu888
DW,http://45.207.205.213:19890/trams/2886/playlist.m3u8?token=abcdsoooyu888
France 24,http://45.207.205.213:19890/trams/439/playlist.m3u8?token=abcdsoooyu888
France 24,http://45.207.205.213:19890/trams/2887/playlist.m3u8?token=abcdsoooyu888
Skynews,http://45.207.205.213:19890/trams/2891/playlist.m3u8?token=abcdsoooyu888
Skynews,http://45.207.205.213:19890/trams/2220/playlist.m3u8?token=abcdsoooyu888
NHK Premium,http://45.207.205.213:19890/trams/2892/playlist.m3u8?token=abcdsoooyu888
儿童卡通,#genre#
Baby TV Eng,http://45.207.205.213:19890/trams/2255/playlist.m3u8?token=abcdsoooyu888
CBeebies,http://45.207.205.213:19890/trams/2282/playlist.m3u8?token=abcdsoooyu888
Kids TV,http://45.207.205.213:19890/trams/2281/playlist.m3u8?token=abcdsoooyu888
Momo TV,http://45.207.205.213:19890/trams/241/playlist.m3u8?token=abcdsoooyu888
Animax,http://45.207.205.213:19890/trams/2291/playlist.m3u8?token=abcdsoooyu888
Baby TV,http://45.207.205.213:19890/trams/2073/playlist.m3u8?token=abcdsoooyu888
MiaoMi,http://45.207.205.213:19890/trams/2283/playlist.m3u8?token=abcdsoooyu888
靖天卡通台,http://45.207.205.213:19890/trams/1585/playlist.m3u8?token=abcdsoooyu888
东森幼幼 Yoyo TV,http://45.207.205.213:19890/trams/969/playlist.m3u8?token=abcdsoooyu888
Nickelodeon,http://45.207.205.213:19890/trams/1985/playlist.m3u8?token=abcdsoooyu888
Nick Jr,http://45.207.205.213:19890/trams/1986/playlist.m3u8?token=abcdsoooyu888
Cartoon Network,http://45.207.205.213:19890/trams/959/playlist.m3u8?token=abcdsoooyu888
电影戏剧,#genre#
CCTV-6 電影,http://45.207.205.213:19890/trams/501/playlist.m3u8?token=abcdsoooyu888
HBO_HD,http://45.207.205.213:19890/trams/898/playlist.m3u8?token=abcdsoooyu888
HBO_HITS,http://45.207.205.213:19890/trams/1207/playlist.m3u8?token=abcdsoooyu888
HBO Signature Taiwan,http://45.207.205.213:19890/trams/2868/playlist.m3u8?token=abcdsoooyu888
Hollywood Movies,http://45.207.205.213:19890/trams/278/playlist.m3u8?token=abcdsoooyu888
AXN Taiwan,http://45.207.205.213:19890/trams/906/playlist.m3u8?token=abcdsoooyu888
CINEMAX,http://45.207.205.213:19890/trams/496/playlist.m3u8?token=abcdsoooyu888
Cinemax,http://45.207.205.213:19890/trams/2732/playlist.m3u8?token=abcdsoooyu888
大爱2台,http://45.207.205.213:19890/trams/508/playlist.m3u8?token=abcdsoooyu888
东森电影 ETTV Movie,http://45.207.205.213:19890/trams/924/playlist.m3u8?token=abcdsoooyu888
东森洋片 ETTV Western,http://45.207.205.213:19890/trams/763/playlist.m3u8?token=abcdsoooyu888
龙华洋片 Lunghua Western,http://45.207.205.213:19890/trams/810/playlist.m3u8?token=abcdsoooyu888
Animax,http://45.207.205.213:19890/trams/2291/playlist.m3u8?token=abcdsoooyu888
龙详时代,http://45.207.205.213:19890/trams/2024/playlist.m3u8?token=abcdsoooyu888
Movies Now HD,http://45.207.205.213:19890/trams/2256/playlist.m3u8?token=abcdsoooyu888
Star Movies HD,http://45.207.205.213:19890/trams/2258/playlist.m3u8?token=abcdsoooyu888
卫视中文台 Star Movies Chinese,http://45.207.205.213:19890/trams/2078/playlist.m3u8?token=abcdsoooyu888
Hits,http://45.207.205.213:19890/trams/2292/playlist.m3u8?token=abcdsoooyu888
Warner TV,http://45.207.205.213:19890/trams/2293/playlist.m3u8?token=abcdsoooyu888
美亚电影,http://45.207.205.213:19890/trams/2099/playlist.m3u8?token=abcdsoooyu888
SCM,http://45.207.205.213:19890/trams/2295/playlist.m3u8?token=abcdsoooyu888
Thrill,http://45.207.205.213:19890/trams/2297/playlist.m3u8?token=abcdsoooyu888
HBO Family,http://45.207.205.213:19890/trams/2711/playlist.m3u8?token=abcdsoooyu888
Axn HD,http://45.207.205.213:19890/trams/1023/playlist.m3u8?token=abcdsoooyu888
HBO HD,http://45.207.205.213:19890/trams/1015/playlist.m3u8?token=abcdsoooyu888
HBO Signature,http://45.207.205.213:19890/trams/2722/playlist.m3u8?token=abcdsoooyu888
Hits Movie,http://45.207.205.213:19890/trams/2299/playlist.m3u8?token=abcdsoooyu888
HBO Hits,http://45.207.205.213:19890/trams/2782/playlist.m3u8?token=abcdsoooyu888
Dreamworks,http://45.207.205.213:19890/trams/2785/playlist.m3u8?token=abcdsoooyu888
tvN Movie,http://45.207.205.213:19890/trams/2300/playlist.m3u8?token=abcdsoooyu888
Astrol Kplus,http://45.207.205.213:19890/trams/2697/playlist.m3u8?token=abcdsoooyu888
One,http://45.207.205.213:19890/trams/2294/playlist.m3u8?token=abcdsoooyu888
天映頻道Celestial Movies,http://45.207.205.213:19890/trams/2427/playlist.m3u8?token=abcdsoooyu888
Celestial Classic,http://45.207.205.213:19890/trams/1587/playlist.m3u8?token=abcdsoooyu888
Rock Actions,http://45.207.205.213:19890/trams/2713/playlist.m3u8?token=abcdsoooyu888
Rock Entertainment,http://45.207.205.213:19890/trams/2714/playlist.m3u8?token=abcdsoooyu888
纪录探索,#genre#
CI,http://45.207.205.213:19890/trams/1243/playlist.m3u8?token=abcdsoooyu888
Asia Travel,http://45.207.205.213:19890/trams/479/playlist.m3u8?token=abcdsoooyu888
亚洲美食,http://45.207.205.213:19890/trams/2035/playlist.m3u8?token=abcdsoooyu888
NatGeo HD,http://45.207.205.213:19890/trams/2235/playlist.m3u8?token=abcdsoooyu888
Fashion TV,http://45.207.205.213:19890/trams/2117/playlist.m3u8?token=abcdsoooyu888
History,http://45.207.205.213:19890/trams/472/playlist.m3u8?token=abcdsoooyu888
BBC Earth HD,http://45.207.205.213:19890/trams/2037/playlist.m3u8?token=abcdsoooyu888
BBC Earth Lifestyle,http://45.207.205.213:19890/trams/2038/playlist.m3u8?token=abcdsoooyu888
亚洲旅游 TLC Asia,http://45.207.205.213:19890/trams/2055/playlist.m3u8?token=abcdsoooyu888
MTV Live,http://45.207.205.213:19890/trams/2046/playlist.m3u8?token=abcdsoooyu888
NatGeo_Wild HD,http://45.207.205.213:19890/trams/1255/playlist.m3u8?token=abcdsoooyu888
Animal_Planet,http://45.207.205.213:19890/trams/474/playlist.m3u8?token=abcdsoooyu888
HGTV,http://45.207.205.213:19890/trams/2508/playlist.m3u8?token=abcdsoooyu888
TLC,http://45.207.205.213:19890/trams/1595/playlist.m3u8?token=abcdsoooyu888
Foodnetwork Hd,http://45.207.205.213:19890/trams/2615/playlist.m3u8?token=abcdsoooyu888
Asia Food Network,http://45.207.205.213:19890/trams/1042/playlist.m3u8?token=abcdsoooyu888
Animal Planet (Eng),http://45.207.205.213:19890/trams/2011/playlist.m3u8?token=abcdsoooyu888
NatGeo Wild HD,http://45.207.205.213:19890/trams/2106/playlist.m3u8?token=abcdsoooyu888
Discovery Asia,http://45.207.205.213:19890/trams/2888/playlist.m3u8?token=abcdsoooyu888
Dmax,http://45.207.205.213:19890/trams/2889/playlist.m3u8?token=abcdsoooyu888
探索频道,http://45.207.205.213:19890/trams/2878/playlist.m3u8?token=abcdsoooyu888
泰国,#genre#
Channel 3 Thailand,http://45.207.205.213:19890/trams/458/playlist.m3u8?token=abcdsoooyu888
Channel 5 Thailand,http://45.207.205.213:19890/trams/459/playlist.m3u8?token=abcdsoooyu888
Channel 7 Thailand,http://45.207.205.213:19890/trams/460/playlist.m3u8?token=abcdsoooyu888
MCOT HD Thailand-1,http://45.207.205.213:19890/trams/1000/playlist.m3u8?token=abcdsoooyu888
PPTV Thailand1,http://45.207.205.213:19890/trams/1001/playlist.m3u8?token=abcdsoooyu888
Thai Thai,http://45.207.205.213:19890/trams/1794/playlist.m3u8?token=abcdsoooyu888
Amarin,http://45.207.205.213:19890/trams/2239/playlist.m3u8?token=abcdsoooyu888
Ch 8,http://45.207.205.213:19890/trams/2240/playlist.m3u8?token=abcdsoooyu888
GmmOne,http://45.207.205.213:19890/trams/2241/playlist.m3u8?token=abcdsoooyu888
Mono,http://45.207.205.213:19890/trams/2242/playlist.m3u8?token=abcdsoooyu888
Thairath,http://45.207.205.213:19890/trams/2243/playlist.m3u8?token=abcdsoooyu888
tpbs,http://45.207.205.213:19890/trams/2244/playlist.m3u8?token=abcdsoooyu888
Workpoint,http://45.207.205.213:19890/trams/2245/playlist.m3u8?token=abcdsoooyu888
Gmm Channel,http://45.207.205.213:19890/trams/2246/playlist.m3u8?token=abcdsoooyu888
Nation,http://45.207.205.213:19890/trams/2247/playlist.m3u8?token=abcdsoooyu888
Tnn24,http://45.207.205.213:19890/trams/2248/playlist.m3u8?token=abcdsoooyu888
Nbt,http://45.207.205.213:19890/trams/2249/playlist.m3u8?token=abcdsoooyu888
New,http://45.207.205.213:19890/trams/2250/playlist.m3u8?token=abcdsoooyu888
TPTV,http://45.207.205.213:19890/trams/2251/playlist.m3u8?token=abcdsoooyu888
Test 1,http://45.207.205.213:19890/trams/2879/playlist.m3u8?token=abcdsoooyu888
Test 2,http://45.207.205.213:19890/trams/2880/playlist.m3u8?token=abcdsoooyu888
Test 3,http://45.207.205.213:19890/trams/2881/playlist.m3u8?token=abcdsoooyu888
Test 4,http://45.207.205.213:19890/trams/2882/playlist.m3u8?token=abcdsoooyu888
Test 5,http://45.207.205.213:19890/trams/2883/playlist.m3u8?token=abcdsoooyu888
英国,#genre#
BBC 1,http://45.207.205.213:19890/trams/2215/playlist.m3u8?token=abcdsoooyu888
BBC 2,http://45.207.205.213:19890/trams/2216/playlist.m3u8?token=abcdsoooyu888
CBBC,http://45.207.205.213:19890/trams/2217/playlist.m3u8?token=abcdsoooyu888
More4,http://45.207.205.213:19890/trams/2218/playlist.m3u8?token=abcdsoooyu888
Freesports,http://45.207.205.213:19890/trams/2219/playlist.m3u8?token=abcdsoooyu888
Pick TV,http://45.207.205.213:19890/trams/2221/playlist.m3u8?token=abcdsoooyu888
itv 1,http://45.207.205.213:19890/trams/2222/playlist.m3u8?token=abcdsoooyu888
itv 2,http://45.207.205.213:19890/trams/2223/playlist.m3u8?token=abcdsoooyu888
CGTN,http://45.207.205.213:19890/trams/2562/playlist.m3u8?token=abcdsoooyu888
Euronews,http://45.207.205.213:19890/trams/2226/playlist.m3u8?token=abcdsoooyu888
Channel 4,http://45.207.205.213:19890/trams/2227/playlist.m3u8?token=abcdsoooyu888
DW (Deutsch),http://45.207.205.213:19890/trams/440/playlist.m3u8?token=abcdsoooyu888
NatGeo HD,http://45.207.205.213:19890/trams/2235/playlist.m3u8?token=abcdsoooyu888
CBeebies,http://45.207.205.213:19890/trams/2282/playlist.m3u8?token=abcdsoooyu888
History,http://45.207.205.213:19890/trams/472/playlist.m3u8?token=abcdsoooyu888
Kids TV,http://45.207.205.213:19890/trams/2281/playlist.m3u8?token=abcdsoooyu888
BBC Earth HD,http://45.207.205.213:19890/trams/2037/playlist.m3u8?token=abcdsoooyu888
BBC Earth Lifestyle,http://45.207.205.213:19890/trams/2038/playlist.m3u8?token=abcdsoooyu888
MTV Live,http://45.207.205.213:19890/trams/2046/playlist.m3u8?token=abcdsoooyu888
Star Movies HD,http://45.207.205.213:19890/trams/2258/playlist.m3u8?token=abcdsoooyu888
NHK World,http://45.207.205.213:19890/trams/2392/playlist.m3u8?token=abcdsoooyu888
Warner TV,http://45.207.205.213:19890/trams/2293/playlist.m3u8?token=abcdsoooyu888
Thrill,http://45.207.205.213:19890/trams/2297/playlist.m3u8?token=abcdsoooyu888
HGTV,http://45.207.205.213:19890/trams/2508/playlist.m3u8?token=abcdsoooyu888
TLC,http://45.207.205.213:19890/trams/1595/playlist.m3u8?token=abcdsoooyu888
Axn HD,http://45.207.205.213:19890/trams/1023/playlist.m3u8?token=abcdsoooyu888
HBO HD,http://45.207.205.213:19890/trams/1015/playlist.m3u8?token=abcdsoooyu888
Hits Movie,http://45.207.205.213:19890/trams/2299/playlist.m3u8?token=abcdsoooyu888
Nickelodeon,http://45.207.205.213:19890/trams/1985/playlist.m3u8?token=abcdsoooyu888
Al-Jazeera,http://45.207.205.213:19890/trams/1089/playlist.m3u8?token=abcdsoooyu888
Nick Jr,http://45.207.205.213:19890/trams/1986/playlist.m3u8?token=abcdsoooyu888
Bloomberg News,http://45.207.205.213:19890/trams/267/playlist.m3u8?token=abcdsoooyu888
Animal Planet (Eng),http://45.207.205.213:19890/trams/2011/playlist.m3u8?token=abcdsoooyu888
NatGeo Wild HD,http://45.207.205.213:19890/trams/2106/playlist.m3u8?token=abcdsoooyu888
BBC World News,http://45.207.205.213:19890/trams/2224/playlist.m3u8?token=abcdsoooyu888
CNBC,http://45.207.205.213:19890/trams/265/playlist.m3u8?token=abcdsoooyu888
France 24,http://45.207.205.213:19890/trams/439/playlist.m3u8?token=abcdsoooyu888
